id,title,domain,domains_touched,tier,status,confidence,date_start,date_end,date_precision,prereq_count,prereqs,enables_count,enables,contested,tags
AGR-010,The Holocene Bargain,agriculture,health,core,drafted,medium,-11700,-8000,era,0,,3,AGR-020; AGR-090; WAR-035,TRUE,holocene; climate-stability; pleistocene; domestication-precondition
AGR-020,Founder Crop Domestication,agriculture,migration; health,core,drafted,high,-9500,-3500,era,1,AGR-010,9,AGR-030; AGR-050; AGR-080; AGR-160; AGR-120; AGR-220; AGR-110; AGR-060; ENG-055,TRUE,domestication; founder-crops; neolithic; teosinte; fertile-crescent
AGR-030,Livestock Domestication and the Secondary Products Revolution,agriculture,health,core,drafted,medium,-8500,-3500,era,1,AGR-020,6,AGR-040; AGR-130; AGR-140; AGR-110; AGR-070; WAR-010,FALSE,livestock; secondary-products-revolution; traction; wool
AGR-040,Zoonotic Disease Emergence,agriculture,health,standard,drafted,medium,-8500,-2000,era,1,AGR-030,1,HLT-240,TRUE,zoonosis; disease-reservoir; livestock; influenza
AGR-050,"Storage, Sealing, and Agrarian Accounting",agriculture,finance; nature,core,drafted,medium,-8000,-3100,era,2,AGR-020; HLT-030,6,FIN-020; MTH-015; REL-020; WAR-010; WAR-035; MED-010,TRUE,clay-tokens; bullae; proto-writing; agrarian-accounting
AGR-060,Grain Processing and the Mill,agriculture,engineering,standard,drafted,medium,-8000,1200,era,1,AGR-020,0,,FALSE,mill; quern; watermill; grain-processing
AGR-070,"Livestock Containment: Fence, Fold, and Corral",agriculture,,core,drafted,medium,-8000,1800,era,1,AGR-030,1,AGR-250,FALSE,fence; fold; corral; containment; controlled-mating
AGR-080,The Farming Frontier Expansions,agriculture,migration,core,drafted,medium,-7000,1800,era,1,AGR-020,1,AGR-160,TRUE,swidden; shifting-cultivation; slash-and-burn; frontier; bantu-expansion
AGR-090,Population Pressure and Agricultural Intensification,agriculture,,core,drafted,medium,-7000,1800,era,1,AGR-010,0,,TRUE,boserup-thesis; population-pressure; intensification; malthus
AGR-100,Irrigation and Hydraulic Works,agriculture,engineering; commerce,core,drafted,high,-6000,-250,era,1,ENG-020,4,AGR-150; AGR-170; AGR-280; COM-070,TRUE,irrigation; water-rights; hydraulic-despotism; yield
